,0
away_unbeaten_streak,0.0996994242240452
streak_clash,0.06008256590257926
odds_home_prob,0.05773339804581937
odds_away_prob,0.04765573517844669
diff_season_gd,0.033600943037131244
diff_roll_points,0.03269863579822874
diff_season_points,0.02990537771055187
home_roll_home_points,0.025931386615199455
market_uncertainty,0.02489126077515249
market_form_diff,0.023221352199144542
home_season_gd,0.021200952245497482
diff_roll_goals_scored,0.019201426376219084
home_roll_points,0.01821597609584665
home_roll_shots,0.01768479594386002
away_season_gd,0.016282593956782464
diff_player_quality,0.016107869520237114
away_season_goals_against,0.015863330325393738
home_season_goals_against,0.015438479278355764
home_season_matches,0.01466064201080866
away_roll_away_points,0.014543131094142937
away_roll_shots,0.014325629102236257
away_roll_shots_target,0.014037513726544536
home_roll_shots_target,0.013831931582588738
diff_team_int_per90,0.013825791375962213
home_roll_corners,0.01369278751508186
home_unbeaten_streak,0.01335323876941394
odds_draw_prob,0.012883646728590164
home_ground_advantage,0.012366736424691228
diff_squad_age,0.012348032032433568
home_roll_goals_scored,0.012332267015999713
home_player_quality,0.01211951728000604
diff_team_tkl_per90,0.012019225000044462
h2h_home_goals_avg,0.011876541255420744
diff_top3_ga_per90,0.011828728338547504
away_roll_corners,0.011818930273164462
diff_gk_cs_pct,0.011620391950931277
diff_gk_ga90,0.011370863011892843
away_roll_home_points,0.011068558466297602
home_roll_away_points,0.011022270356291752
away_player_quality,0.011008981859522713
h2h_away_goals_avg,0.010940701904391108
diff_gk_save_pct,0.01089334901339331
away_roll_goals_scored,0.010879102117762473
diff_team_discipline_per90,0.010832223715420142
diff_defensive,0.010682942154385946
away_roll_goals_conceded,0.01035461864687379
away_roll_points,0.010260319461819893
month,0.009911231970726306
diff_avg_on_off,0.009651266783049246
home_roll_goals_conceded,0.009007129282519026
away_roll_loss,0.008955442664411102
home_roll_loss,0.005682858269526832
h2h_matches,0.005460659408452405
diff_squad_depth,0.005361489441622208
h2h_away_wins,0.005198455352405347
h2h_draws,0.0050420212334498045
h2h_home_wins,0.004381634508906792
is_weekend,0.0031336956717797288
