season_label,league,season_code,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,url
2022-2023,ENG-Premier League,2223,Wolves,32,26.7,38,3420,90,100,38,418,80,248,165,24,175,1.08,31,58,-27,-0.71,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
2023-2024,ENG-Premier League,2324,Arsenal,25,25.0,38,3420,90,100,38,418,84,263,154,17,188,2.34,91,29,62,1.63,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
2023-2024,ENG-Premier League,2324,Aston Villa,31,26.9,38,3420,90,100,38,418,83,270,151,19,186,1.79,76,61,15,0.39,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
2023-2024,ENG-Premier League,2324,Bournemouth,30,25.7,38,3420,90,100,38,418,82,247,170,20,171,1.26,54,67,-13,-0.34,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
2023-2024,ENG-Premier League,2324,Brentford,28,26.6,38,3420,90,100,38,418,83,247,170,16,172,1.03,56,65,-9,-0.24,/en/squads/cd051869/2023-2024/Brentford-Stats
2023-2024,ENG-Premier League,2324,Brighton,30,25.9,38,3420,90,100,38,418,80,239,176,23,166,1.26,55,62,-7,-0.18,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
2023-2024,ENG-Premier League,2324,Burnley,31,24.5,38,3420,90,100,38,418,82,255,162,19,180,0.63,41,78,-37,-0.97,/en/squads/943e8050/2023-2024/Burnley-Stats
2023-2024,ENG-Premier League,2324,Chelsea,32,24.2,38,3420,90,100,38,418,84,267,148,17,193,1.66,77,63,14,0.37,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
2023-2024,ENG-Premier League,2324,Crystal Palace,26,26.8,38,3420,90,100,38,418,85,292,126,16,214,1.29,57,58,-1,-0.03,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
2023-2024,ENG-Premier League,2324,Everton,26,27.1,38,3420,90,100,38,418,85,299,121,19,218,1.26,40,51,-11,-0.29,/en/squads/d3fd31cc/2023-2024/Everton-Stats
2023-2024,ENG-Premier League,2324,Fulham,25,28.4,38,3420,90,100,38,418,82,244,170,18,171,1.24,55,61,-6,-0.16,/en/squads/fd962109/2023-2024/Fulham-Stats
2023-2024,ENG-Premier League,2324,Liverpool,30,26.3,38,3420,90,100,38,418,82,248,166,20,176,2.16,86,41,45,1.18,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
2023-2024,ENG-Premier League,2324,Luton Town,28,26.7,38,3420,90,100,38,418,82,260,158,20,184,0.68,52,85,-33,-0.87,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
2023-2024,ENG-Premier League,2324,Manchester City,25,26.6,38,3420,90,100,38,418,85,301,115,19,221,2.39,96,34,62,1.63,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
2023-2024,ENG-Premier League,2324,Manchester Utd,31,26.1,38,3420,90,100,38,418,84,266,153,17,189,1.58,57,58,-1,-0.03,/en/squads/19538871/2023-2024/Manchester-United-Stats
2023-2024,ENG-Premier League,2324,Newcastle United,32,27.2,38,3420,90,100,38,418,83,272,149,19,193,1.58,85,62,23,0.61,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
2023-2024,ENG-Premier League,2324,Nottingham Forest,33,25.7,38,3420,90,100,38,418,83,257,158,18,182,0.95,49,67,-18,-0.47,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
