season_label,team,gk_save_pct,gk_cs_pct,gk_ga90,top3_ga_per90,squad_age,squad_depth,team_tkl_per90,team_int_per90,team_discipline_per90,avg_on_off
2017-2018,Tottenham Hotspur,71.8,41.7,0.97,1.5,25.42581400921168,14.0,1.0081417624521072,0.9841954022988505,0.14607279693486588,0.17500000000000002
2017-2018,Watford,64.1,20.8,1.69,0.7100000000000001,27.49849208679175,18.0,1.095627102354637,1.1797212878423833,0.18500720807304177,-0.10250000000000001
2017-2018,West Brom,64.7,27.0,1.49,0.34,28.611586727640116,15.0,0.9861177596936332,1.1847774054571565,0.1819052178075634,0.035714285714285705
2017-2018,West Ham United,70.8,31.6,1.53,0.18,27.595615883090215,17.0,0.9935205183585312,1.2598992080633549,0.19438444924406045,0.21941176470588233
2018-2019,Arsenal,75.0,22.6,1.33,1.72,26.290277925673518,18.0,0.9199808337326307,0.9559175850503117,0.19885002395783424,0.04374999999999998
2018-2019,Bournemouth,56.7,20.8,1.96,1.17,26.110082468741687,16.0,0.7419818094782192,0.9167065581617999,0.1507898516036381,0.1675
2018-2019,Brighton,67.4,17.6,1.62,0.33,26.9074988654262,17.0,0.9778952426717924,1.1292647765497357,0.1850072080730418,-0.03812499999999999
2018-2019,Burnley,65.2,21.1,2.16,0.16,27.460192987586062,16.0,0.7894736842105262,0.8229665071770333,0.1866028708133971,0.3735714285714286
2018-2019,Cardiff City,67.3,26.3,1.82,0.18,27.263601777210205,16.0,0.9193200861862579,1.2377304285372275,0.16519032798659322,0.23153846153846153
2018-2019,Chelsea,67.8,38.9,1.08,0.36000000000000004,26.71552365762892,15.0,0.9082217973231358,0.841300191204589,0.11711281070745698,-0.18615384615384614
2018-2019,Crystal Palace,74.4,35.0,1.18,0.6,26.855026595744683,15.0,1.0924772400574987,1.1068519405845711,0.16291327264015332,-0.17357142857142854
2018-2019,Everton,66.4,36.8,1.21,0.88,25.177739844771025,14.0,1.0489678348535767,1.0921747479596737,0.17282765242438794,0.20583333333333334
2018-2019,Fulham,68.1,17.2,1.93,0.48000000000000004,25.353974294153648,16.0,0.9197604790419162,1.0203592814371258,0.18203592814371258,0.1613333333333333
2018-2019,Huddersfield Town,63.2,16.7,1.75,0.14,25.800892761680743,17.0,1.060861197979312,1.2533076738032236,0.16357950445032476,0.15375
2018-2019,Leicester City,67.7,26.3,1.26,0.39,25.358229709854257,15.0,0.9769008662175168,1.0298363811357074,0.1900866217516843,0.060769230769230784
2018-2019,Liverpool,77.6,55.3,0.58,1.3,25.6013720120184,16.0,0.9308446996889208,0.7729121799473558,0.12682459918640823,-0.10857142857142854
2018-2019,Manchester City,75.3,52.6,0.61,0.6799999999999999,26.244537189643257,17.0,0.8088059344340751,0.8638430246470447,0.11246709739172049,-0.030666666666666665
2018-2019,Manchester Utd,71.9,18.4,1.42,0.9,25.801560461214816,16.0,0.8722741433021808,0.8483105679367362,0.227653965971723,0.206
2018-2019,Newcastle United,69.6,28.9,1.26,0.77,26.368999760389766,17.0,1.085549964054637,1.217349628564582,0.15097052480230053,0.2326666666666667
2018-2019,Southampton,65.0,16.0,1.76,0.55,24.759040315279332,20.0,1.0501078877966914,1.277871014145289,0.20618556701030927,0.16210526315789472
2018-2019,Tottenham Hotspur,76.2,36.4,1.0,1.4300000000000002,26.329797724062576,16.0,0.9138882225953466,0.7963540417366275,0.16790597265531304,0.007999999999999995
2018-2019,Watford,69.4,18.4,1.55,0.53,28.120388920052356,16.0,0.9706871696299856,0.999519461797213,0.22825564632388276,0.09333333333333332
2018-2019,West Ham United,74.0,18.4,1.45,0.47,27.146804376181223,16.0,0.9724550898203594,1.0970059880239522,0.14850299401197606,0.21466666666666664
2018-2019,Wolves,69.3,21.6,1.24,0.37,25.606423777564718,14.0,1.016055595494848,1.2101605559549486,0.1821231727773784,-0.12583333333333332
2019-2020,Arsenal,77.1,23.3,1.33,0.9199999999999999,25.32589583945702,18.0,0.8130863603560261,0.8034640365648306,0.24777483762328606,0.010000000000000007
2019-2020,Aston Villa,67.7,20.0,1.76,0.68,25.057552616874652,19.0,0.701292484442317,1.0315940641455243,0.17472474868358068,0.14166666666666672
2019-2020,Bournemouth,68.7,13.5,1.68,0.45,24.755965408637163,17.0,0.7402066810862773,1.148762316750781,0.20908435472242248,0.42266666666666663
